seed,task,learned_accuracy,baseline_accuracy,learned_minus_baseline,learned_correct,baseline_correct
41,strategyqa,0.62882096069869,0.519650655021834,0.10917030567685593,144/229,119/229
41,asdiv-aug,0.861271676300578,0.8901734104046243,-0.028901734104046284,894/1038,924/1038
42,strategyqa,0.6375545851528385,0.5545851528384279,0.08296943231441056,146/229,127/229
42,asdiv-aug,0.8236994219653179,0.8853564547206165,-0.06165703275529866,855/1038,919/1038
43,strategyqa,0.6550218340611353,0.5283842794759825,0.1266375545851528,150/229,121/229
43,asdiv-aug,0.9075144508670521,0.8574181117533719,0.050096339113680166,942/1038,890/1038
