task,condition,seed_count,mean_accuracy,min_accuracy,max_accuracy,sample_size_each_seed,seeds
strategyqa,learned,3,0.6404657933042213,0.62882096069869,0.6550218340611353,229,"41,42,43"
strategyqa,baseline,3,0.5342066957787481,0.519650655021834,0.5545851528384279,229,"41,42,43"
asdiv-aug,learned,3,0.8641618497109826,0.8236994219653179,0.9075144508670521,1038,"41,42,43"
asdiv-aug,baseline,3,0.8776493256262042,0.8574181117533719,0.8901734104046243,1038,"41,42,43"
